year,Minima,Anomalia,EstacaoCodigo,Desviacion estandar,Promedio,Area
1988,15430.16,-1.6536633620359948,11400000,15607.838265749619,41240.27030065357,
1991,16216.04,-1.6033117382800925,11400000,15607.838265749619,41240.27030065357,
1998,14301.8,-1.7259578067110217,11400000,15607.838265749619,41240.27030065357,
2010,13087.14,-1.8037815244686237,11400000,15607.838265749619,41240.27030065357,
2011,15940.72,-1.6209515930320586,11400000,15607.838265749619,41240.27030065357,
2023,14940.926,-1.6850087662918547,11400000,15607.838265749619,41240.27030065357,
1988,17945.81,-1.7839542057126951,11500000,18532.488330312073,51006.92049918167,1134540.0
1991,20930.3,-1.6229132301671443,11500000,18532.488330312073,51006.92049918167,1134540.0
1998,16393.0,-1.8677427381711347,11500000,18532.488330312073,51006.92049918167,1134540.0
1999,21353.32,-1.6000873693080766,11500000,18532.488330312073,51006.92049918167,1134540.0
2010,15039.65,-1.9407685497016045,11500000,18532.488330312073,51006.92049918167,1134540.0
2011,19650.66,-1.6919617020826505,11500000,18532.488330312073,51006.92049918167,1134540.0
2017,20350.35,-1.654206923149075,11500000,18532.488330312073,51006.92049918167,1134540.0
2022,18124.344,-1.7743206369863636,11500000,18532.488330312073,51006.92049918167,1134540.0
2023,13947.282,-1.9997119565733792,11500000,18532.488330312073,51006.92049918167,1134540.0
1980,1335.73,-1.6620927026338848,12845000,5869.783914359836,11091.855010095242,197136.0
1985,361.23,-1.8281124427500386,12845000,5869.783914359836,11091.855010095242,197136.0
2004,1676.45,-1.6040462728212872,12845000,5869.783914359836,11091.855010095242,197136.0
1988,43126.98,-1.7228690571142977,13150000,22521.282695071284,81928.20108186202,1769000.0
1995,43586.69,-1.7024568094539723,13150000,22521.282695071284,81928.20108186202,1769000.0
1997,38926.07,-1.9093997293179445,13150000,22521.282695071284,81928.20108186202,1769000.0
1998,36064.55,-2.036458211676333,13150000,22521.282695071284,81928.20108186202,1769000.0
2005,38017.29,-1.9497517826314479,13150000,22521.282695071284,81928.20108186202,1769000.0
2010,31998.89,-2.216983453291002,13150000,22521.282695071284,81928.20108186202,1769000.0
2022,41997.348,-1.7730274790521043,13150000,22521.282695071284,81928.20108186202,1769000.0
2023,32593.076,-2.1906001425335715,13150000,22521.282695071284,81928.20108186202,1769000.0
1991,49708.754,-1.6087570472593848,14100000,28768.80231094025,95990.7674589372,2147736.0
1995,42684.574,-1.8529166728176873,14100000,28768.80231094025,95990.7674589372,2147736.0
1997,39758.008,-1.9546437439821023,14100000,28768.80231094025,95990.7674589372,2147736.0
1998,42945.09,-1.843861168970698,14100000,28768.80231094025,95990.7674589372,2147736.0
2005,40418.43,-1.9316875571773129,14100000,28768.80231094025,95990.7674589372,2147736.0
2010,29863.168,-2.2985871550791006,14100000,28768.80231094025,95990.7674589372,2147736.0
2012,49103.21,-1.6298056815909476,14100000,28768.80231094025,95990.7674589372,2147736.0
2023,35251.99,-2.1112723707597434,14100000,28768.80231094025,95990.7674589372,2147736.0
1980,1046.5466,-1.7266315879666148,14330000,5464.094129960238,10481.024124412304,
1988,1725.8995,-1.6023012078812806,14330000,5464.094129960238,10481.024124412304,
1992,1671.2423,-1.6123041834340457,14330000,5464.094129960238,10481.024124412304,
1979,2496.0464,-1.8284993851971554,14420000,6861.383024273081,15042.081041485526,279945.0
1980,1410.3142,-1.9867374832830764,14420000,6861.383024273081,15042.081041485526,279945.0
1983,3659.5334,-1.6589290528189735,14420000,6861.383024273081,15042.081041485526,279945.0
1992,3939.9832,-1.618055398191638,14420000,6861.383024273081,15042.081041485526,279945.0
2007,3548.4065,-1.6751250441529177,14420000,6861.383024273081,15042.081041485526,279945.0
2016,3520.73,-1.6791587061569324,14420000,6861.383024273081,15042.081041485526,279945.0
1997,53340.9,-1.6339701165735396,15030000,37309.18662125564,114302.99601279703,2854286.0
2005,54331.24,-1.60742598388972,15030000,37309.18662125564,114302.99601279703,2854286.0
2010,52670.273,-1.6519449656853114,15030000,37309.18662125564,114302.99601279703,2854286.0
2023,45847.793,-1.834808239260756,15030000,37309.18662125564,114302.99601279703,2854286.0
2002,22.16,-1.9179779625818902,15050000,12.62044631069509,46.3657379018611,3140.0
1990,80694.38,-1.608983403828498,17050001,48190.976453065705,158232.86132727267,4680000.0
1991,79711.06,-1.629388053669069,17050001,48190.976453065705,158232.86132727267,4680000.0
1995,70441.2,-1.821744811765227,17050001,48190.976453065705,158232.86132727267,4680000.0
1997,67038.48,-1.8923538811480396,17050001,48190.976453065705,158232.86132727267,4680000.0
1998,71066.65,-1.8087662409614347,17050001,48190.976453065705,158232.86132727267,4680000.0
2005,67806.266,-1.8764217283569922,17050001,48190.976453065705,158232.86132727267,4680000.0
2010,74224.86,-1.7432309430187616,17050001,48190.976453065705,158232.86132727267,4680000.0
2023,59836.117,-2.041808478877856,17050001,48190.976453065705,158232.86132727267,4680000.0
2016,950.41,-1.6103416478625603,17093000,231.57257443231623,1323.3209611111115,55900.0
2021,950.41,-1.6103416478625603,17093000,231.57257443231623,1323.3209611111115,55900.0
2022,941.4037,-1.6492335590574776,17093000,231.57257443231623,1323.3209611111115,55900.0
2023,930.7085,-1.6954186482297102,17093000,231.57257443231623,1323.3209611111115,55900.0
2024,848.5451,-2.050224912319565,17093000,231.57257443231623,1323.3209611111115,55900.0
2018,19.54,-1.9474453388816721,18420000,22.905511959383606,64.1472325,
