producto_fuente,dossier,copias_adicionales,estado,pendientes
AFOS-K 0-40-50,11_AFOSK,0,parcial,Registro venta; Etiqueta; Soportes ensayo
BIOPLANTAS,00_EXTRA_BIOPLANTAS,0,parcial,Registro venta; Etiqueta; Soportes ensayo
CALFERBORO,15_BORO GRANULADO,0,parcial,Registro venta; Etiqueta; Soportes ensayo
CALFERCOBRE,16_CALFERCOBRE,0,parcial,Registro venta; Etiqueta; Soportes ensayo
CALFERMAGNESIO,21_CALFER MAGNESIO,0,parcial,Registro venta; Etiqueta; Soportes ensayo
CALFERQUIM 15-15-15,07_15-15-15,0,parcial,Registro venta; Etiqueta; Soportes ensayo
CALFERQUIM 17-6-18-2,08_17-6-18-2,0,parcial,Registro venta; Etiqueta; Soportes ensayo
CALFERQUIM 18-18-18,09_18-18-18,0,parcial,Registro venta; Etiqueta; Soportes ensayo
CALFERQUIM SILIMAGRAN 30,49_SILIMAGRAM,0,parcial,Registro venta; Etiqueta; Soportes ensayo
CALFERZINC-P GRADO 0-3-0,23_CALFERZINC-P,0,parcial,Etiqueta; Soportes ensayo
FERTILIZANTE 25-4-24,10_25-4-24,0,parcial,Registro venta; Etiqueta; Soportes ensayo
FERTIMENORES NP 4-10-0,24_FERTIMENORES,0,parcial,Registro venta; Etiqueta; Soportes ensayo
FOSFORITA NEIVA,27_FOSFORITA NEIVA,0,parcial,Registro venta; Etiqueta; Soportes ensayo
K2K,29_K2K,0,parcial,Soportes ensayo
MAGNE 3,32_MAGNE 3,0,parcial,Registro venta; Etiqueta; Soportes ensayo
PRODUCCION 17,45_PRODUCCION 17,0,parcial,Hoja seguridad; Soportes ensayo
ZUELO-CA,59_ZUELOCa,0,parcial,Soportes ensayo
FOLLAJE,26_FOLLAJE,0,parcial,Registro venta; Ficha tecnica; Etiqueta; Soportes ensayo
ORGANIC M,00_EXTRA_ORGANIC_M,0,parcial,Registro venta; Ficha tecnica; Etiqueta; Hoja seguridad; Soportes ensayo
CALFERCORRECTIVO,17_CALFERCORRECTIVO,36,base_completa,ninguno
