producto_fuente,dossier,copias_desde_99_despachos,estado
AFOS-K 0-40-50,11_AFOSK,1,parcial
BIOPLANTAS,00_EXTRA_BIOPLANTAS,0,parcial
CALFERBORO,15_BORO GRANULADO,2,parcial
CALFERCOBRE,16_CALFERCOBRE,0,parcial
CALFERMAGNESIO,21_CALFER MAGNESIO,1,parcial
CALFERQUIM 15-15-15,07_15-15-15,3,parcial
CALFERQUIM 17-6-18-2,08_17-6-18-2,2,parcial
CALFERQUIM 18-18-18,09_18-18-18,1,parcial
CALFERQUIM SILIMAGRAN 30,49_SILIMAGRAM,0,parcial
CALFERZINC-P GRADO 0-3-0,23_CALFERZINC-P,4,parcial
FERTILIZANTE 25-4-24,10_25-4-24,9,parcial
FOSFORITA NEIVA,27_FOSFORITA NEIVA,5,parcial
K2K,29_K2K,2,parcial
MAGNE 3,32_MAGNE 3,1,parcial
PRODUCCION 17,45_PRODUCCION 17,0,parcial
ZUELO-CA,59_ZUELOCa,1,parcial
FOLLAJE,26_FOLLAJE,0,parcial
ORGANIC M,00_EXTRA_ORGANIC_M,0,parcial
