PRODUCTO;No REGISTRO ICA;DOCUMENTO;TIPO
CALFERCORRECTIVO;14125;;ACONDICIONADOR
FOSFORITA NEIVA;2812;S;ACONDICIONADOR
CALFERBORO;;S;GRANULADO
CALFERQUIM SILIMAGRAN 30;3601;S;GRANULADO
CALFERZINC-P GRADO 0-3-0;2949;S;GRANULADO
FERTIMENORES NP 4-10-0;3536;S;GRANULADO
MAGNE 3;13883;S;GRANULADO
PRODUCCION 17;13790;S;GRANULADO
ZUELO-CA;13702;S;GRANULADO
CALFERQUIM 15-15-15;3537;S;MEZCLA FÍSICA
CALFERQUIM 17-6-18-2;5060;S;MEZCLA FÍSICA
CALFERQUIM 18-18-18;4533;S;MEZCLA FÍSICA
FERTILIZANTE 25-4-24;9386;S;MEZCLA FÍSICA
BIOPLANTAS;5884;S;ORGANICO
K2K;13801;S;ORGANICO
ORGANIC M;13918;N;ORGANICO
RAIFOS;13446;S;ORGANICO
1-CRECIMIENTO;13872;N;SOLUBLES
2-AVANCE;13859;N;SOLUBLES
3-PRODUCTOR;13866;N;SOLUBLES
AFOS-K 0-40-50;4415;S;SOLUBLES
CALFER DESARROLLO;13879;N;SOLUBLES
CALFER FLORACIÓN;13871;N;SOLUBLES
CALFER LLENADO;13824;S;SOLUBLES
CALFER MENORES;13860;N;SOLUBLES
CALFERCOBRE;5791;S;SOLUBLES
CALFERMAGNESIO;5867;S;SOLUBLES
FOLLAJE;;N;SOLUBLES
SOLURAIFOS;13751;S;SOLUBLES
SULFA K 50;13749;S;SOLUBLES
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
